Income,Food,Travel,Shopping,Bills,Entertainment,Savings,Risk_Level
45795,3860,6390,7191,6772,4092,17490,Medium
36265,3466,6334,6426,8578,4444,7017,High
74131,14111,1130,3685,3769,3391,48045,Low
32433,8311,6051,8420,4184,5555,1000,High
49769,9396,5843,10666,4082,3558,16224,Medium
48431,5747,1975,11998,3189,3734,21788,Medium
65773,7658,2899,9734,4267,2528,38687,Low
41394,6556,4890,10838,9164,3888,6058,High
44502,8393,3435,10792,5363,3061,13458,Medium
38433,13233,3824,9513,5612,2363,3888,High
53483,12670,3556,2775,7014,1034,26434,Medium
44541,6152,2955,3585,6943,4073,20833,Medium
31021,14653,3613,5843,4500,5798,1000,High
36873,8675,1161,6297,4981,1995,13764,Medium
62606,14534,5551,9629,6798,2275,23819,Medium
31016,10869,1337,2878,4076,5887,5969,High
42185,7859,1379,10684,8276,3062,10925,Medium
79216,11006,3568,7463,8248,3027,45904,Low
32695,12687,6258,7618,9736,1391,1000,High
43986,8892,4561,8184,6099,1200,15050,Medium
60535,6104,5598,4454,6645,6847,30887,Low
60818,5731,6991,10154,4570,6056,27316,Medium
62482,11110,6581,5840,4028,1502,33421,Low
36910,12062,5488,2206,8134,6977,2043,High
53419,4484,1863,4790,3563,6116,32603,Low
75151,9019,2757,9574,9374,2678,41749,Low
63827,9668,6279,11914,6314,4157,25495,Medium
52299,13817,3729,11789,6060,3693,13211,Medium
59467,6627,2363,7450,4663,2529,35835,Low
40230,8592,4302,9392,8504,6496,2944,High
31306,9776,3675,7864,4282,1709,4000,High
51959,8530,5744,6413,6748,6353,18171,Medium
30663,4998,4445,3495,6304,4763,6658,High
76576,9585,5659,3291,6581,4457,47003,Low
53938,10280,2636,5696,5999,4152,25175,Medium
79850,13352,5097,6737,9363,6685,38616,Medium
30854,11164,6855,9392,9528,4474,1000,High
76717,8249,6172,3707,5777,6791,46021,Low
56309,8535,5931,5510,3202,4255,28876,Low
42688,11958,5389,4327,5931,1197,13886,Medium
53509,4930,4582,8287,3608,4272,27830,Low
72107,7282,4397,4511,4794,1659,49464,Low
32811,10098,2369,3986,8630,1146,6582,High
41411,5911,2734,3843,3488,3976,21459,Low
48343,8759,3385,6736,4802,6534,18127,Medium
50445,14561,6730,2262,8883,1623,16386,Medium
71976,14835,5976,4049,8423,4723,33970,Medium
50932,6108,6279,9158,5056,4170,20161,Medium
72642,5255,2154,6499,9295,4191,45248,Low
42183,4648,6539,11637,7199,4923,7237,High
78354,14375,3557,7592,3098,3200,46532,Low
76940,5961,5973,6433,6777,3869,47927,Low
76760,11352,6699,8944,7493,2300,39972,Low
51295,6987,2527,8015,8511,6254,19001,Medium
63986,7496,5735,6555,3954,5565,34681,Low
49830,4045,2693,5436,3562,3485,30609,Low
35895,6354,1225,6893,9427,1959,10037,Medium
35600,14259,1815,9683,7642,6311,1000,High
74080,10679,1016,9339,4243,3205,45598,Low
73484,4069,4444,3060,5327,4420,52164,Low
61216,3301,5276,2606,6170,1699,42164,Low
30190,13492,1980,4975,9102,2184,1000,High
49778,11319,3065,3816,8854,1569,21155,Medium
68210,4895,3733,5863,7721,5014,40984,Low
41093,4686,4009,9806,3154,3537,15901,Medium
64177,3784,4175,10096,7341,6596,32185,Low
35801,5806,1537,7986,4841,6016,9615,Medium
40647,11716,6625,4950,7131,5780,4445,High
32368,9655,5495,11163,9002,2166,1000,High
43403,8919,3774,2853,7146,4736,15975,Medium
79726,14453,2148,8293,9457,2715,42660,Low
34777,6854,6173,4491,5660,4124,7475,High
33051,3004,6222,7315,7869,1876,6765,High
62093,7142,5364,6465,3635,6225,33262,Low
48077,12874,5752,10311,3830,6906,8404,High
58251,8177,2369,10932,3116,6949,26708,Medium
31150,10560,2931,11204,4664,2081,1000,High
59305,3512,3849,9805,8237,1559,32343,Low
50056,10404,5992,5343,8308,5070,14939,Medium
59375,12662,1580,9004,5294,4147,26688,Medium
31679,6506,6092,9253,5744,4356,1000,High
39435,8188,4118,4141,8869,6053,8066,High
59124,14151,3265,8617,5479,5646,21966,Medium
56211,10421,2757,6452,5070,6881,24630,Medium
53049,5849,4251,9390,9905,4730,18924,Medium
65257,12823,3816,11207,4348,5611,27452,Medium
57663,5839,1335,7878,9401,5592,27618,Medium
79115,12087,4546,2851,4687,2931,52013,Low
36833,14938,3427,11760,7000,6052,1000,High
65506,14690,6732,7387,8536,6287,21874,Medium
33913,4066,5380,6107,8726,4373,5261,High
42161,13738,1753,4082,5774,3896,12918,Medium
58761,11967,2625,2417,3114,1616,37022,Low
50358,6267,1825,9668,8745,2516,21337,Medium
41338,3412,1728,9164,5808,1675,19551,Medium
74425,8988,3504,4967,9335,3786,43845,Low
78816,4122,5079,3571,8073,6104,51867,Low
64911,12879,5132,5440,6766,6644,28050,Medium
73286,5914,5968,7917,8392,4952,40143,Low
44397,11787,6999,2728,4365,5492,13026,Medium
30698,10186,6731,2395,9588,5171,1000,High
34360,5502,2819,2717,5782,5946,11594,Medium
35486,11335,5980,9266,7491,3938,1000,High
51972,10651,4636,3167,5616,2062,25840,Medium
48540,10860,6161,7305,5982,4294,13938,Medium
67497,12348,6334,10924,7330,5846,24715,Medium
36731,10241,1953,4539,6324,4301,9373,Medium
31542,8293,6772,3191,9313,6512,1000,High
57569,9938,3681,11409,4540,4236,23765,Medium
56962,14911,6615,11580,4856,2365,16635,Medium
71459,12872,1510,9494,7312,2324,37947,Low
55731,13019,4141,9419,6486,2810,19856,Medium
36588,5923,6301,6186,3713,6977,7488,High
58178,14714,5268,6748,7849,2243,21356,Medium
33709,12273,6779,8619,3455,5924,1000,High
55470,12576,2958,5072,9530,2996,22338,Medium
44683,3504,2214,3531,6440,1823,27171,Low
47312,8029,6236,2133,5105,4627,21182,Medium
75740,9316,2852,6910,8268,5175,43219,Low
57509,14476,5298,7348,8795,2250,19342,Medium
60354,14704,2256,5376,8645,6262,23111,Medium
72356,14829,4330,4703,3470,6131,38893,Low
64121,13975,3831,7063,3357,4019,31876,Medium
53959,3667,5468,11337,8467,5185,19835,Medium
66487,5745,1539,6964,7136,5835,39268,Low
50159,9042,6320,8132,5508,3779,17378,Medium
61471,3924,3956,3581,6324,5485,38201,Low
35713,10026,1255,6804,4838,2944,9846,Medium
30009,5871,1797,9409,7972,6124,1000,High
31015,13016,5469,4193,3223,6358,1000,High
77280,10449,5158,5925,9970,5784,39994,Low
76540,7000,2633,9266,3510,1384,52747,Low
30404,11175,5613,4000,5756,2668,1192,High
68757,4460,4636,6809,7178,6264,39410,Low
78212,10245,6997,4048,7146,5780,43996,Low
47100,10939,6565,6544,7976,5583,9493,High
72783,13273,4419,9239,4574,1249,40029,Low
